Immunityhybridboost,HospBA12,high,low,trend,ProxyBA12,high,low,trend,HospNew,high,low,trend,ProxyNew,high,low,trend
001-061,0.958924166410973,0.969474440577513,0.94472749600813,0.876099369543611,0.96255237987796,0.975159608170166,0.943546613015966,0.892532767150681,0.857153895036452,0.896311136758954,0.803209244797858,1.0327458422828,0.911017143558299,0.950867486236035,0.838845030837167,1.05201627677629
062-122,0.942479366079542,0.953405336557189,0.928991367634359,0.734962124462653,0.961538917507427,0.972570565674832,0.946070529600999,0.748955240741775,0.876920390927423,0.909620674079127,0.832388767949863,0.94159419881002,0.886459751321906,0.928760601860766,0.819041311316417,0.972511481842957
123-183,0.902549970487486,0.932411291910601,0.859495638836166,0.593824879381694,0.939912656250121,0.967740332411947,0.888080406623493,0.605377714332869,0.86675672936791,0.902143562716747,0.818573313502648,0.850442555337243,0.88478010665279,0.929673089229577,0.811229816900678,0.893006686909624
184-244,0,0,0,0,0,0,0,0,0.809800179595288,0.846279153181627,0.764664504322384,0.759290911864467,0.859522769095203,0.903514693516033,0.795472977992157,0.813501891976291
245-305,0,0,0,0,0,0,0,0,0.805042937778668,0.839920369863064,0.762566567167484,0.668139268391691,0.832205138233561,0.878093758585479,0.769042870089959,0.733997097042958
306-366,0,0,0,0,0,0,0,0,0.807265947596058,0.851483308953415,0.749883903995721,0.576987624918914,0.876874540873658,0.923763835473366,0.801145837028877,0.654492302109625
367-427,0,0,0,0,0,0,0,0,0.644614170373704,0.736846427553696,0.520055583038144,0.485835981446138,0.779974697227568,0.873011537444649,0.618775336861812,0.574987507176292
428-488,0,0,0,0,0,0,0,0,0.345699164849712,0.595833939754614,-0.059241794371456,0.394684337973362,0.575139726423639,0.824586679056892,-0.0290338903162553,0.495482712242959
489-549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
