Immunityhybridfull,ProxyBA12,high1,low1,trend1,ProxyNew,high2,low2,trend2,LCAll,high3,low3,trend3,LCInf,high4,low4,trend4
001-061,0.990852642384146,0.997052080299263,0.971615864797336,0.985445185340062,0,0,0,0,0,0,0,0,0.223654790410229,0.459335510607193,-0.114761365463194,0.312819989411104
062-122,0.959156497391518,0.974305523071858,0.935075864358149,0.977197380231904,0.921021235235036,0.988883667963318,0.438875587449484,0.96166861108331,0,0,0,0,0.317984572208927,0.444009238012509,0.163394294390263,0.28353904929568
123-183,0.950283036390774,0.972501180482196,0.910113360723694,0.968949575123745,0.956373280932403,0.993860789528055,0.689977949884472,0.94547571457687,0,0,0,0,0.206987266421366,0.317704943135908,0.0783031632850845,0.254258109180255
184-244,0.935074676731418,0.965113141397221,0.879172336795206,0.960701770015587,0.944010394465141,0.9819777401209,0.826057556101246,0.929282818070429,0,0,0,0,0.243048427113605,0.333697055338181,0.140067309794046,0.224977169064831
245-305,0.985162381188003,0.997910735809492,0.894625613644116,0.952453964907428,0.913705027693544,0.95896849939275,0.818509629548958,0.913089921563989,0,0,0,0,0.244492069271386,0.371746040405185,0.0914625770731984,0.195696228949407
306-366,0.864883243000289,0.956448435511589,0.580806378907993,0.944206159799269,0.852335735451515,0.918463477384138,0.732577079263335,0.896897025057549,0,0,0,0,0.0985069989134346,0.304820560214445,-0.169035769036489,0.166415288833982
367-427,0,0,0,0,0.863879255302097,0.929365654933077,0.737679210877422,0.880704128551109,0,0,0,0,0.13549051304702,0.379343841246969,-0.204171814766599,0.137134348718558
428-488,0,0,0,0,0.902966247925455,0.959697434552796,0.766378419408596,0.864511232044669,0,0,0,0,-0.112648267126873,0.334487860405971,-0.86020072766159,0.107853408603133
489-549,0,0,0,0,0.821154167512358,0.925727552464519,0.569344583899463,0.848318335538229,0,0,0,0,-0.0909915918580315,0.654026342079349,-2.44032739561319,0.0785724684877089
