Immunityinf,ProxyBA12,high1,low1,trend1,ProxyNew,high2,low2,trend2,LCAll,high3,low3,trend3,LCInf,high4,low4,trend4
001-061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
062-122,0.932533721371915,0.960114088811739,0.885882041645271,0.918774265031974,0,0,0,0,0,0,0,0,-0.227371633919697,-0.0391289353098325,-0.44971531112406,0.0632837047824791
123-183,0.910001305586861,0.962597600205891,0.783442638957475,0.92590377214967,0.919417604045837,0.979877323136848,0.677303244400642,0.853243499814509,0,0,0,0,0.203017852447092,0.373136784972513,-0.0132681712551823,0.0958530545849224
184-244,0,0,0,0,0.819189677324706,0.906260978521666,0.651240515738685,0.847526372458871,0,0,0,0,0.228674642291836,0.393282548609657,0.0194071291665215,0.128422404387366
245-305,0,0,0,0,0.7963723717293,0.884822555141748,0.639997127508949,0.841809245103233,0,0,0,0,0.262397339663961,0.425006993001224,0.0538012151233682,0.160991754189809
306-366,0.852357539355154,0.911138849098718,0.754692619168514,0.947292293502758,0.677804936070596,0.803508152973106,0.471684648542877,0.836092117747595,0,0,0,0,0.202442223559536,0.327798599341362,0.0537085966536306,0.193561103992252
367-427,0.89644847155075,0.941276591416986,0.81739958045832,0.954421800620454,0.888081860867817,0.958117971106843,0.700929725759847,0.830374990391957,0,0,0,0,0.254972389339449,0.372416833184092,0.115549667364819,0.226130453794696
428-488,0.978860268605295,0.994716441394793,0.915419080806656,0.96155130773815,0.817880930670126,0.931885804225415,0.513062511618838,0.824657863036319,0,0,0,0,0.208272490476749,0.333136112094813,0.0600293992452459,0.258699803597139
489-549,0.977698209931149,0.996860417617364,0.841580892087453,0.968680814855846,0.856684865503785,0.953873258809952,0.554721897845677,0.818940735680681,0,0,0,0,0.205129443820073,0.377130118528672,-0.0143678798360241,0.291269153399582
