Immunityboost,HospBA12,high,low,trend,ProxyBA12,high,low,trend,HospNew,high,low,trend,ProxyNew,high,low,trend
001-061,0.850532470636243,0.860860194097084,0.839438166604217,0.762833688892342,0.870778773521275,0.882993756936562,0.857288594732396,0.87675183660405,0.464173516374557,0.689312633334881,0.0758876885268562,0.538342844804466,0.521636953668977,0.801298952295602,-0.151635619131322,0.604456513749239
062-122,0.795982818698987,0.805235930479175,0.786290097714559,0.633898359066271,0.832892081403958,0.843342076525163,0.821745010797448,0.742565429753865,0.62885045734243,0.794718904328152,0.328959237263978,0.480592385684904,0.60500834232681,0.835908558680157,0.0491983714902772,0.544046814436526
123-183,0.681586346445552,0.702642405251994,0.659039296252675,0.504963029240201,0.713008044809562,0.739014709925667,0.684409867235921,0.60837902290368,0.318071914473382,0.477688492596547,0.109677065815067,0.422841926565342,0.524182514202561,0.710202793736916,0.218756168459872,0.483637115123813
184-244,0.582868758031183,0.699328307902444,0.421300782216664,0.376027699414131,0.643376983094995,0.77590395003939,0.432475600490139,0.474192616053495,0.367998818039105,0.423449411812715,0.307215182529272,0.36509146744578,0.378974781073062,0.461181613365994,0.284225757490306,0.4232274158111
245-305,-0.687139067519423,0.841092368783413,-16.9125332833807,0.24709236958806,0,0,0,0,0.299689681891223,0.339683635834271,0.257273379451602,0.307341008326218,0.345253456164668,0.402092497468297,0.283011109830351,0.362817716498387
306-366,0,0,0,0,0,0,0,0,0.268452603975456,0.312867915502917,0.221166345300293,0.249590549206656,0.313592108782782,0.375828689939704,0.245149872268634,0.302408017185673
367-427,0,0,0,0,0,0,0,0,0.242588315157218,0.305197851736107,0.174336950785455,0.191840090087093,0.339395293210909,0.420149618027717,0.247394513826912,0.24199831787296
428-488,0,0,0,0,0,0,0,0,0.176243767682589,0.284815142106351,0.0511903002528554,0.134089630967531,0.23731599905571,0.385065743959686,0.0540665451913674,0.181588618560247
489-549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
