Immunityfull,HospBA12,high,low,trend,ProxyBA12,high,low,trend,HospNew,high,low,trend,ProxyNew,high,low,trend
001-061,0.448249670616621,0.516182579050109,0.370778287857069,0.430009944331554,0.473001045918203,0.561714448199853,0.366331159075148,0.472825383271912,0,0,0,0,0,0,0,0
062-122,0.431170605465587,0.494070119586604,0.360451136386726,0.383212471119015,0.38579503398014,0.475072657167511,0.281333416072704,0.397347273949397,0.641634192746652,0.94953771948087,-1.54499104057848,0.0540669026919294,0,0,0,0
123-183,0.334545501891526,0.400123839504124,0.26179815399441,0.336414997906475,0.334605234871017,0.424586776422758,0.230552626669657,0.321869164626882,-0.512004275153366,0.0498092909293328,-1.40599798151892,0.0339874374076406,-0.723223060371256,0.181646404927784,-2.62862426911344,-0.208993812688909
184-244,0.351244182792179,0.396493234545109,0.302602498509278,0.289617524693936,0.319688414907577,0.382104139268045,0.250967869791671,0.246391055304366,-0.0388662645166389,0.17404599121894,-0.306662482507348,0.0139079721233518,-0.45905782795555,-0.0613514666000516,-1.00579149538273,-0.193236512660958
245-305,0.20516411304361,0.266481139525668,0.138721413672691,0.242820051481397,0.284041426776577,0.359882937859402,0.199214161144278,0.170912945981851,-0.0708826601132742,0.0937413416655043,-0.26541099628094,-0.00617149316093696,-0.0744773243845414,0.175771055162003,-0.400704898617072,-0.177479212633007
306-366,0.0049748259034732,0.108141520023079,-0.110125787122015,0.196022578268858,0.00664121483501212,0.139876780075231,-0.147232923383661,0.095434836659336,0.0575768961234042,0.206442399447883,-0.119214668352315,-0.0262509584452257,-0.0498975847344618,0.189189172767405,-0.35948472986418,-0.161721912605056
367-427,-0.0639277759239212,0.165151447212713,-0.355865454402759,0.149225105056318,-0.299627968432512,0.0342455912263445,-0.748925856291772,0.0199567273368207,-0.0135756643358047,0.105395930278274,-0.148369051857018,-0.0463304237295145,-0.0555271390938235,0.128867124892231,-0.278952468905228,-0.145964612577104
428-488,0.473959339543496,0.926064956125454,-2.74272823754667,0.102427631843779,0.0340721109806469,0.864651335198589,-5.89343103719823,-0.0555213819856945,-0.104536931705084,0.0125415728835022,-0.235496908019752,-0.0664098890138033,-0.141405824530834,0.0366415743985239,-0.352359850342826,-0.130207312549153
489-549,0,0,0,0,0,0,0,0,-0.0148887314943211,0.110840881672124,-0.158396867425861,-0.0864893542980921,-0.0937241526265946,0.0968314413114628,-0.324484239991452,-0.114450012521202
