Immunityhybridfull,HospBA12,high,low,trend,ProxyBA12,high,low,trend,HospNew,high,low,trend,ProxyNew,high,low,trend
001-061,0.93422619875017,0.967125624139748,0.868402279354514,1.09582266750167,0.937113445082291,0.976415166612419,0.832319409493881,1.11908499550263,0,0,0,0,0,0,0,0
062-122,0.888348223072835,0.910118802761147,0.861304481093353,0.979706568129861,0.917105879569216,0.941183878189348,0.883170889367466,1.00429823696751,0.732092992682036,0.872410338528271,0.437460968685372,0.571892698444545,0.800382453257659,0.950140684467128,0.200808022702208,0.58232697614662
123-183,0.867747927030942,0.899909450975282,0.825252124450896,0.863590468758048,0.919095720857118,0.950508132014235,0.867745901498162,0.889511478432398,0.841259574081904,0.920729081145583,0.682121474245353,0.598804426029246,0.795803230947731,0.923539366090085,0.454669437602202,0.612682274783818
184-244,0.818065001888299,0.863115261204806,0.75818821127,0.747474369386236,0.827802246798059,0.885796281930638,0.740358136240475,0.774724719897282,0.854872591778699,0.907649431080349,0.771934652234175,0.625716153613948,0.89728927227817,0.957367138038215,0.752550190071589,0.643037573421015
245-305,0.808376439557339,0.875184029471829,0.705810171876725,0.631358270014423,0.826960803857464,0.907007136179852,0.678012245546441,0.659937961362167,0.811441984097871,0.86498015482351,0.736674817583494,0.652627881198649,0.795013058967753,0.876913989921675,0.65861558135633,0.673392872058213
306-366,0.742376921799835,0.866033190455572,0.504581391114506,0.51524217064261,0.74416751674853,0.893597984798353,0.384877632603331,0.545151202827052,0.782446261234512,0.844939718564851,0.694766262431706,0.679539608783351,0.798029831338269,0.883133239588148,0.650953368729548,0.703748170695411
367-427,0.623083718030389,0.878499487752767,-0.169261602162754,0.399126071270798,0.767196039346826,0.967225096996615,-0.653633699242604,0.430364444291936,0.603460946047284,0.70483357422705,0.467272672025812,0.706451336368052,0.596941287843061,0.744053778185324,0.365271640683798,0.734103469332609
428-488,0,0,0,0,0,0,0,0,0.633300103720519,0.752775897628344,0.456085338600066,0.733363063952754,0.788858250411018,0.905380349812531,0.528841648313339,0.764458767969806
489-549,0,0,0,0,0,0,0,0,0.614776477145018,0.776701601775523,0.335431137255082,0.760274791537456,0.588218463480257,0.815485861485316,0.0810241687518899,0.794814066607004
