Immunitysecboost45,Hosp ordinary,high,low,trend,Proxy ordinary,high,low,trend,Hosp 45,high,low,trend,Proxy 45,high,low,trend
001-061,0.697180999993964,0.736259813244279,0.652311815303337,0.549553237577266,0.704505412200195,0.7595698549461,0.636829851766707,0.566271878408784,0.769211018943997,0.815333708127291,0.711568617982631,0.599004006538441,0.807632166190161,0.864258707066161,0.727383004206934,0.652972392725277
062-122,0.553219660850951,0.614173171667443,0.482636621427252,0.460838919896066,0.562391051751789,0.646016323028362,0.459010106835381,0.474925303743103,0.710320292306024,0.778171620276524,0.621715070207554,0.500285715266578,0.684996667938479,0.78108834744098,0.546725365918523,0.546504483108809
123-183,0.372613037516088,0.475245987200837,0.249906830449648,0.372124602214865,0.434525922122245,0.56650436042997,0.262366437944204,0.383578729077421,0.35764626180887,0.630069897034557,-0.115395372424351,0.401567423994715,0.551277954206001,0.833477319678648,-0.209153455811471,0.440036573492341
184-244,0.129250003311164,0.397257837641481,-0.257926861739294,0.283410284533664,0.106547831640281,0.479531765848207,-0.533728140868389,0.292232154411739,0,0,0,0,0,0,0,0
245-305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306-366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367-427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428-488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489-549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
