,,Delta,Lo95,High95,abs(zscore1),
full,ProxyBA12,3.18932245419652,2.02993647877677,4.34870842961627,5.39170918292505,***
full,ProxyNew,-1.62320701306475,-4.75301464932612,1.50660062319663,1.01651159283619,
full,LCAll,7.17999107310876,5.70048315491433,8.65949899130318,9.51179938291063,***
full,LCInf,0.48939681649951,-1.10400000789798,2.082793640897,0.601995526570569,
boost,ProxyBA12,2.9697554091057,2.3669159943359,3.5725948238755,9.65550768452967,***
boost,ProxyNew,1.15143876984274,-0.105103151463509,2.40798069114899,1.79605626412024,*
boost,LCAll,13.5749540827318,11.4886816173045,15.6612265481591,12.753324622297,***
boost,LCInf,0.845718245163756,-1.52571976583295,3.21715625616046,0.69898844196407,
secboost,ProxyBA12,0,0,0,#DIV/0!,
secboost,ProxyNew,7.60263537464809,4.87436043249142,10.3309103168048,5.46175354399255,***
secboost,LCAll,0,0,0,#DIV/0!,
secboost,LCInf,0,0,0,#DIV/0!,
secb45,ProxyBA12,0,0,0,#DIV/0!,
secb45,ProxyNew,0,0,0,#DIV/0!,
secb45,LCAll,0,0,0,#DIV/0!,
secb45,LCInf,0,0,0,#DIV/0!,
hybridfull,ProxyBA12,2.30947808050255,1.67044593733603,2.94851022366907,7.08348881380988,***
hybridfull,ProxyNew,1.43018542465557,-0.00262685893220333,2.86299770824334,1.95640661685687,*
hybridfull,LCAll,10.6303142205164,9.43777058609463,11.8228578549383,17.4714075617993,***
hybridfull,LCInf,1.55802257619852,-2.00998502469025,5.12603017708728,0.855862596421721,
hybridboost,ProxyBA12,0.877405657755796,0.245628608473377,1.50918270703822,2.72202842941926,***
hybridboost,ProxyNew,1.27047465589884,0.810813911436148,1.73013540036154,5.41732213498566,***
hybridboost,LCAll,12.7165190824005,9.49501595497689,15.9380222098241,7.73687822598459,***
hybridboost,LCInf,1.43236660144015,-6.11531321158849,8.98004641446879,0.371960471081001,
inf,ProxyBA12,0.466628804836354,-0.142865017937921,1.07612262761063,1.50057707445867,
inf,ProxyNew,1.70508221115854,0.116272795275061,3.29389162704202,2.1034373918362,**
inf,LCAll,4.92167063411636,3.8258220314344,6.01751923679832,8.80274375425534,***
inf,LCInf,-4.09134322399177,-6.18340796486381,-1.99927848311973,3.83307101465764,***
